ArtNumber ;Bezeichnung ;Typ ;Modell ;Stromart ;Spur ;Epoche ;Betriebsart ;Hersteller
3356;Krokodil;Güterzuglokomotive;BR Be 6/8 III SBB;AC;H0 ;V;Digital;Märklin
3756;Krokodil;Güterzuglokomotive ;BR Ce 6/8 III SBB grün;AC;H0 ;V;Digital;Märklin
30501;SBB Elektrolok;Elektrolok-Doppelpackung;Ae 6/6, SBB;AC;H0 ;IV;MFX;Märklin
32560; Güterzug-Elektrolokomotive Serie Ce 6/8 II „Krokodil“ der Schweizerischen Bundesbahnen (SBB);Elektrolokomotive ;Ce 6/8 II;DC;H0 ;II;MFX;Märklin
33593;Ausführung 11801 mit 2 Pantographen.;Doppel-Elektrolokomotive;Ae 8/14 SBB;AC;H0 ;IV;Digital;Märklin
34345;Güterverkehr ;Elektrolokomotive;Re 4/4 II (420) (SBB Cargo);AC;H0 ;V;Digital;Märklin
34638;Elektrolokomotive;Elektrolokomotive;Serie 460 (SBB);AC;H0 ;V;Digital;Märklin
36160;Mehrsystemlokomotive mit 4 Dachstromabnehmern;Elektrolokomotive ;BR 193;DC;H0 ;VI;MFX;Märklin
36193;Gebaut von Siemens als Serienlokomotive aus dem Vectron-Typenprogramm;Elektrolokomotive ;BR 193, Vectron;AC;H0 ;VI;MFX;Märklin
36195;Mehrsystemlokomotive mit 4 Dachstromabnehmern;Elektrolokomotive ; Baureihe 193;DC;H0 ;VI;MFX;Märklin
36330; Rangierlokomotive;Elektrolokomotive;Ee 3/3 SBB/CFF/FFS;AC;H0 ;IV;Digital;Märklin
36331; Rangierlokomotive Serie Ee 3/3 der Schweizerischen Bundesbahnen (SBB/CFF/FFS);Elektrolokomotive;Ee 3/3;AC;H0 ;III;MFX;Märklin
36332;Elektro-Rangierlokomotiven;Rangierlok-Doppelpackung;Ee 3/3, Halbschuh, SBB;AC;H0 ;III;MFX;Märklin
36333;Elektrische Rangierlokomotive Serie Ee 3/3 der Schweizerischen Bundesbahnen (SBB/CFF/FFS);Elektrolokomotive ;Ee 3/3;DC;H0 ;III;MFX;Märklin
36354;Elektrische Rangierlokomotive Serie Ee 3/3 der Schweizerischen Bundesbahnen (SBB/CFF/FFS);Elektro-Rangierlokomotive;Ee 3/3;DC;H0 ;V;MFX;Märklin
36606;Mehrzwecklokomotive ;Märklin Start up - Elektrolokomotive;Serie 482, SBB/CFF/FFS;AC;H0 ;VI;MFX;Märklin
36607;Mehrsystem-Elektrolokomotive Baureihe E 186 der Railpool GmbH München, vermietet an die SBB Cargo;Elektrolokomotive;BR E 186, Cargo;AC;H0 ;VI;Digital;Märklin
36627;Elektrolokomotive Re 482 (1. Bauserie) der Schweizerischen Bundesbahn (SBB);Elektrolokomotive ;Reihe 482 ;AC;H0 ;VI;Digital;Märklin
36851;Mehrzwecklokomotive ;Elektrolokomotive;BR 482 SBB/CFF/FFS ;AC;H0 ;V;Digital;Märklin
